[TEST] Preformance Test: findAllPollard with 8-bits primes.
[Integer to Factor]	[Elapsed Time]	[Memory Usage]	[Int Memory Usage]	[Factors]
221819003287559	0.016654253005981	704	256	6739147, 32914997
[TEST] Preformance Test: findAllPollard with 56-bits primes.
[Integer to Factor]	[Elapsed Time]	[Memory Usage]	[Int Memory Usage]	[Factors]
69127260758319389	0.035361051559448	704	256	131541737, 525515797
52157861953906679	0.013649225234985	704	256	122589821, 425466499
65420543853886769	0.046493053436279	704	256	126407293, 517537733
48194952411453503	0.015496969223022	704	256	108840343, 442804121
58762398206302919	0.018922805786133	704	256	131180521, 447950639
51221997736904009	0.020190000534058	704	256	108104677, 473818517
53346970234579999	0.019079923629761	704	256	107573201, 495913199
57400783127281381	0.010077953338623	704	256	114705491, 500418791
49047635516900287	0.055749177932739	704	256	426857129, 114904103
57060919049812807	0.022440195083618	704	256	126691949, 450391043
59589391964566097	0.011602163314819	704	256	120070417, 496287041
52612965785243917	0.025451183319092	704	256	110262281, 477161957
54720617155760177	0.034992933273315	704	256	125819087, 434915071
45219717377917741	0.018871068954468	704	256	109893137, 411488093
49579561003129709	0.009839057922363	704	256	104523863, 474337243
57126632987208517	0.019131898880005	704	256	120056809, 475830013
54737897799540029	0.016138076782227	704	256	106356169, 514665941
48535953125301437	0.050660848617554	704	256	117953093, 411485209
52409773850736997	0.021072149276733	704	256	105865313, 495060869
56823127244525687	0.025383234024048	704	256	430539631, 131981177
50731891199164757	0.021053075790405	704	256	118301497, 428835581
55049964265185079	0.007111072540283	704	256	122109991, 450822769
43654760990264041	0.014252901077271	704	256	429487087, 101643943
53666231051352427	0.034598827362061	704	256	107049281, 501322667
49818841489852399	0.028196096420288	704	256	107957173, 461468563
