3431089121	0.0037767000030726194	28537, 120233
3431089121	0.002757256996119395	28537, 120233
3437671973	0.00301360001321882	26387, 130279
3437671973	0.0025733980000950396	26387, 130279
3446464531	0.0035638000117614865	30341, 113591
3446464531	0.0029204950042185374	30341, 113591
3450203663	0.003965299925766885	31817, 108439
3450203663	0.003314180998131633	31817, 108439
3450908651	0.0030341000529006124	26987, 127873
3450908651	0.002601567997771781	26987, 127873
3479882369	0.003226200002245605	26711, 130279
3479882369	0.002575247999629937	26711, 130279
3480945463	0.0042195999994874	32183, 108161
3480945463	0.003088254001340829	32183, 108161
3514047857	0.0037863999605178833	30893, 113749
3514047857	0.0029883039969718084	30893, 113749
3524133901	0.004082600004039705	32173, 109537
3524133901	0.0030927650004741736	32173, 109537
3527950729	0.003746599890291691	27647, 127607
3527950729	0.0026631180007825606	27647, 127607
3532392323	0.003923299955204129	32141, 109903
3532392323	0.0030915229945094325	32141, 109903
3536361391	0.0036174000706523657	32381, 109211
3536361391	0.003135413004201837	32381, 109211
3565864469	0.0042106000473722816	30809, 115741
3565864469	0.003104463998170104	30809, 115741
3569043241	0.003918299917131662	30307, 117763
3569043241	0.0029346849987632595	30307, 117763
3572926103	0.0036376999923959374	28657, 124679
3572926103	0.0027658370017888956	28657, 124679
3583655659	0.004027399932965636	28703, 124853
3583655659	0.0027700069986167364	28703, 124853
3586972951	0.0041096999775618315	31859, 112589
3586972951	0.0030856129960739054	31859, 112589
3602688077	0.00408330000936985	30803, 116959
3602688077	0.002963266000733711	30803, 116959
3637756867	0.0034168000565841794	31063, 117109
3637756867	0.0030598640005337074	31063, 117109
3650398607	0.003730399999767542	28901, 126307
3650398607	0.0027892159996554255	28901, 126307
3655183673	0.0035004999954253435	30293, 120661
3655183673	0.0029040950030321255	30293, 120661
3682234883	0.0028973000589758158	30241, 121763
3682234883	0.002984115002618637	30241, 121763
3698992049	0.004050099989399314	32009, 115561
3698992049	0.003082383998844307	32009, 115561
3703382443	0.004218699992634356	32141, 115223
3703382443	0.0031031939943204634	32141, 115223
3733419881	0.003890200052410364	30181, 123701
3733419881	0.00295345600170549	30181, 123701
3736729207	0.0027468999614939094	28817, 129671
3736729207	0.0027780860036727972	28817, 129671
3758834689	0.003766500041820109	30269, 124181
3758834689	0.00291652499436168	30269, 124181
3761758103	0.0038189999759197235	30949, 121547
3761758103	0.003020524003659375	30949, 121547
3778908751	0.003841000027023256	30203, 125117
3778908751	0.002914445001806598	30203, 125117
3797921707	0.0037517999298870564	29027, 130841
3797921707	0.002891986005124636	29027, 130841
3806005381	0.004257100052200258	30341, 125441
3806005381	0.002925195003626868	30341, 125441
3833944573	0.004099300014786422	32297, 118709
3833944573	0.003088314006163273	32297, 118709
3834202949	0.004252400016412139	32297, 118717
3834202949	0.003095613996265456	32297, 118717
3845396741	0.0042909999610856175	32687, 117643
3845396741	0.003252632996009197	32687, 117643
3870236791	0.0037601999938488007	31079, 124529
3870236791	0.0029982440028106794	31079, 124529
3875733839	0.0040571000427007675	30391, 127529
3875733839	0.0030276440011220984	30391, 127529
3877637977	0.003845399944111705	31357, 123661
3877637977	0.0031473429990001023	31357, 123661
3895286117	0.004113700008019805	32611, 119447
3895286117	0.003320682000776287	32611, 119447
3986031359	0.0037167000118643045	30509, 130651
3986031359	0.0029760960023850203	30509, 130651
4012608241	0.004311299999244511	31387, 127843
4012608241	0.0030475029998342507	31387, 127843
4031464739	0.004203599994070828	31249, 129011
4031464739	0.0030498740015900694	31249, 129011
4042538767	0.004140599980019033	31079, 130073
4042538767	0.003003724996233359	31079, 130073
4061150879	0.004040500032715499	31189, 130211
4061150879	0.0030182450063875876	31189, 130211
4264702847	0.003886900027282536	32609, 130783
4264702847	0.0031538240000372753	32609, 130783
165427057167347	0.8037164000561461	6429691, 25728617
165427057167347	0.6561290329991607	6429691, 25728617
167374010958731	0.7302886000834405	6535709, 25609159
167374010958731	0.6517912630006322	6535709, 25609159
168147715043599	0.8073248999426141	6540539, 25708541
168147715043599	0.6470832300037728	6540539, 25708541
169600901958847	0.8298800999764353	6579733, 25776259
169600901958847	0.6492954490022385	6579733, 25776259
171535515317473	0.844608600018546	6721427, 25520699
171535515317473	0.6631891790020745	6721427, 25520699
174078963991019	0.755033600027673	6546131, 26592649
174078963991019	0.6567402869986836	6546131, 26592649
175312342322993	0.8459096000296995	6846811, 25604963
175312342322993	0.6902823650016217	6846811, 25604963
175899268484981	0.81390820001252	6536527, 26910203
175899268484981	0.651056033995701	6536527, 26910203
175975440364487	0.851786799961701	6576529, 26758103
175975440364487	0.6597427599990624	6576529, 26758103
176138466788027	0.851695999968797	6727781, 26180767
176138466788027	0.6747768950008322	6727781, 26180767
177999521316103	0.8176977999974042	6569971, 27092893
177999521316103	0.6597683670042898	6569971, 27092893
179110464301189	0.8288619000231847	6434567, 27835667
179110464301189	0.6424360309974873	6434567, 27835667
180091293817153	0.8352009999798611	6415081, 28073113
180091293817153	0.6534181960014394	6415081, 28073113
181228041944953	0.8786541000008583	7025509, 25795717
181228041944953	0.7013894749979954	7025509, 25795717
183002367173699	0.8892475999891758	6930037, 26407127
183002367173699	0.6925545929989312	6930037, 26407127
